,id,created_at,text,fav,RT,rate
361,9.88578971393511E+017,2018-04-24 00:42:48,誰か女性用下着に味噌汁こぼして使用済み下着という扱いでメルカリで売るスタートアップ創業しませんか？利益率めっちゃくちゃいいと思います。,20,0,0
238,9.89505137352806E+017,2018-04-26 14:03:03,でもこの感覚を23で味わえたのは非常に大きな学びだと思うし、恵まれていると思う。残りの79年くらいは自分が本当に社会的に意味あると思えることと、知的に面白いことに人生ささげていきたいなぁ。,23,0,0
150,9.90429925340463E+017,2018-04-29 03:17:50,よっしゃ！500冊突破！ https://t.co/Tq1j5H2vft,24,0,0
878,9.80264989117235E+017,2018-04-01 02:06:00,朝起きたら彼女に「妊娠した」と言われて、めっちゃ覚悟決めてた。指輪買いに行こうとか。よく考えたら今日4月1日だった。,30,0,0
449,9.86943868137386E+017,2018-04-19 12:25:29,noteで2カ月間で稼げるようになった結果、新たなチャレンジする覚悟が生まれました。そのことについては来月になったら記事書こうかと思ってますが、取り急ぎフォロワーのみなさん本当にありがとうございます。 https://t.co/uE7tJp1ZM8,42,1,2.38095238095238
959,9.7924471448961E+017,2018-03-29 06:31:48,#高校生の自分に教えたいこと頑張って、英語の勉強して、「将来は英語教育を変えたい」と思って、英語の先生になりたくて国際系の大学に入ったよね。そんな君はスケベサイエンティストと名乗ってQiitaやはてブでイキって、会社の上司にネットでばれたよ。どうしようもないね。,34,1,2.94117647058823
287,9.89151298011328E+017,2018-04-25 14:37:01,遊んでたら手取り超えてしまった....,33,1,3.03030303030303
181,9.90119611327701E+017,2018-04-28 06:44:45,心に童貞が潜んでいるから、かわいいおなごにフォローされるとちょっとイキった顔になるのどうにかしたい,24,1,4.16666666666667
372,9.88076861694534E+017,2018-04-22 15:27:36,彼女に「ちんこみたいなやつ買ってきて」っていったらちゃんとチーカマだと理解してくれたので結婚したい,23,1,4.34782608695652
510,9.85852033549783E+017,2018-04-16 12:06:55,スケベ博士が人生変えてしもうた....,23,1,4.34782608695652
857,9.80608159201948E+017,2018-04-02 00:49:38,何か新しいものを作り出すとき、みんながやってるレッドオーシャンに突っ込んでいくのもダメで、でもいきなり0 → 1もダメ。先行研究いっぱい読んで巨人の肩の上に乗り、今まで誰もやらなかった領域を埋めていくのが大事なんだろうなぁ。,21,1,4.76190476190476
1100,9.76617540532167E+017,2018-03-22 00:32:20,スケベ博士の友達数が420人を超えました。ご登録ありがとうございます。ご要望等ございましたらご連絡ください。 https://t.co/ALZL26Do1C,21,1,4.76190476190476
549,9.85095735493341E+017,2018-04-14 10:01:40,こんなこと言うと、「辛いことがあってもやりつづけなさい」って言われると思うけど、プライベートの活動も十分つらい。だってどんなに頑張って最初のほうとか収益にならないから。でも、やってることの価値とか、そういうものにドライブされるから… https://t.co/zOn1BofqiX,20,1,5
676,9.83497333382963E+017,2018-04-10 00:10:11,クラウドソーシングで受けるスキルとその相場は決まっています。今回はPythonで最大単価5万円ほどになる、ツイッターの自動化プログラムの書き方の基礎について解説しました。今は1980円ですが、希少性高そうなので100部超えたら1万… https://t.co/i0vG0K0Kky,35,2,5.71428571428571
551,9.85093970450563E+017,2018-04-14 09:54:39,世の中には二通りの人がいると思う。やらなければならないことを義務感でやり続けられる人、そして僕みたいにやらなければならないことの価値に本当に共感してないとパフォーマンス出せない人。これに薄々学生のころに気づいていたけど、社会人になってもっと感じるようになった。,31,2,6.45161290322581
319,9.88806185938702E+017,2018-04-24 15:45:40,スケベAI作った時は女性から一切コメント来なかったのに、こういう文字起こしアプリはちゃんとコメント来るので、別の意味でスケベドリブン開発に火がつきそうでござる,28,2,7.14285714285714
1087,9.76809624664879E+017,2018-03-22 13:15:37,スケベ基金13700円集まりました。献金してくださった変態な皆様本当にありがとうございます。なるべく私利私欲のために使わないように頑張ります！ https://t.co/BsI5BNiff4,42,3,7.14285714285714
881,9.80261719585956E+017,2018-04-01 01:53:00,よっしゃ！Googleで「スケベサイエンティスト」って検索すると一番最初に実名で出るようになったぞ！よっしゃ！Googleで「スケベサイエンティスト」って検索すると一番最初に実名で出るようになったぞ！よっしゃ！ https://t.co/mmet26ra9h,27,2,7.40740740740741
991,9.78620593825174E+017,2018-03-27 13:11:46,Qiitaとはてぶでスケベサイエンス啓蒙しすぎて、ついに会社の上司にスケベサイエンティストなのバレてしまった！これはリストラか？次回！スケベサイエンティスト、死す！,26,2,7.69230769230769
1071,9.77164503329599E+017,2018-03-23 12:45:47,ぶっちゃけ、30万円の使い道は、Microsoft Hololensで道行く人のアイコラ作ったり、似ているAV女優算出したり、顔認識で感情分析して駆け引きしたりそういうことのためのR&amp;D投資に使いたいと思っています。 https://t.co/vl2qCQw4R1,26,2,7.69230769230769
643,9.83726529132741E+017,2018-04-10 15:20:55,今年入って学んだのは、正攻法で稼ごうとすると赤すぎてだいたい死ぬので、「楽しいこと」を一番プライオリティあげて突き詰めていくと自然と青いところが見えてくるってとこでした。誰もやらない領域、本当に美味しい。しかもみんな反対してやろうとしないからありがたい。,25,2,8
674,9.83512073865904E+017,2018-04-10 01:08:45,プログラミング初心者向けのコンテンツが多くて、やってみた系のコンテンツは多いけど、独学で案件取るまでのコンテンツやっぱり少ないな。こっちのほうが社会的に価値ありそうなので、エンタメから稼げる技術チュートリアルにピボットしよう。,25,2,8
122,9.90591961185714E+017,2018-04-29 14:01:42,IssueでTODO管理するの1週間ぐらいやってるけど結構いいな。結構おすすめ。・思いつきの企画を保存できる・思考のログを残すからどこで詰んだか記録できる・重要度とかステータスを決められる・マークダウン使ってエラーコー… https://t.co/lI8J6DXk7P,37,3,8.10810810810811
703,9.82982925254672E+017,2018-04-08 14:06:06,最近、エンジニアの教育と、キャリアという領域が自分にとって解決したい課題なんだと感じるようになった。これだけ需要があるのに、人を供給する部分のシステムに課題が大きすぎる....ここに人生かけたいなぁ。,23,2,8.69565217391304
977,9.78757377246642E+017,2018-03-27 22:15:17,よっし、文系プログラミング初心者で独学でも技術ブログでみずほの初任給くらいは稼げるようになったぞ！それとメディアの集客方法とか、マネタイズの方法とかやっとわかってきたのと、自分が解決したい課題をどう解決するか、少しめどがついてきた。この一カ月は結構わくわくすることが多かった。,34,3,8.82352941176471
229,9.89539733414932E+017,2018-04-26 16:20:31,・技術チュートリアルがない・わかりやすくかつマーケしてチュートリアル書けるエンジニアが少ないから、参入しにくい・それをやるモチベーションは技術者にはないなのでブルーオーシャンなんだろうなぁ。#10年後の仕事図鑑 https://t.co/C1jCCnyaoV,33,3,9.09090909090909
757,9.82267530600317E+017,2018-04-06 14:43:23,突然ですけどリクルートスーツって最高ですよね。僕は中学生の頃に高校生の制服に目覚め、高校生の頃からリクスーが好きでした。やっぱりフォーマルの中のエロさって本当にありがたいというか。品とスケベの共存というか。春に感謝ですね。,33,3,9.09090909090909
